Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
0015,Konzessionen (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...",,,"Buchung von erworbenen Nutzungsrechten wie Lizenzen, Konzessionen.",,,,,,
0027,EDV-Software (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...",,,"Erworbene Standard- und Individualsoftware, die über ein Jahr genutzt wird.",,,,,,
0035,Geschäfts- oder Firmenwert (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,A.I.3. Geschäfts- oder Firmenwert,,,Aktivierung des bei einem Unternehmenskauf entstandenen Goodwill.,,,,,,
0039,Anzahlungen auf immaterielle Vermögensgegenstände (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,A.I.4. Geleistete Anzahlungen,,,Geleistete Anzahlungen für den Erwerb von z.B. Software oder Lizenzen.,,,,,,
0044,EDV-Software selbsterstellt (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,d. Aktive latente Steuern,,,Aktivierung von Entwicklungskosten für selbsterstellte Software.,,,,,,
0149,Gebäudeteil des häuslichen Arbeitszimmers (Anlagevermögen),Anlagevermögen,Sachanlagen,"A.II.1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken",,,Aktivierung des anteiligen Gebäudewerts für ein steuerlich anerkanntes Arbeitszimmer.,,,,,,
0200,Technische Anlagen und Maschinen (Anlagevermögen),Anlagevermögen,Sachanlagen,A.II.2. Technische Anlagen und Maschinen,d. Rechnungsabgrenzungsposten,,"Buchung von Maschinen, die direkt im Produktionsprozess eingesetzt werden.",,,,,,
0220,Maschinengebundene Werkzeuge (Anlagevermögen),Anlagevermögen,Sachanlagen,A.II.2. Technische Anlagen und Maschinen,,,"Aktivierung von Werkzeugen, die fest mit einer Maschine verbunden sind (z.B. spezielle Pressformen).",,,,,,
0240,Technische Anlagen (Anlagevermögen),Anlagevermögen,Sachanlagen,A.II.2. Technische Anlagen und Maschinen,,,"Umfasst technische Einrichtungen, die nicht direkt Maschinen sind (z.B. Förderanlagen, Lüftungssysteme).",,,,,,
0300,"Andere Anlagen, Betriebs- und Geschäftsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,,Sammelbegriff für die nachfolgenden Konten dieser Kategorie.,,,,,,
