Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
0015,Konzessionen (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,Aktivkonto,"Buchung von erworbenen Nutzungsrechten wie Lizenzen, Konzessionen.",1200,,,,Nein,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...",,
0027,EDV-Software (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,Aktivkonto,"Erworbene Standard- und Individualsoftware, die über ein Jahr genutzt wird.",1200,,,,Nein,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...",,
0035,Geschäfts- oder Firmenwert (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,Aktivkonto,Aktivierung des bei einem Unternehmenskauf entstandenen Goodwill.,1600,,,,Nein,A.I.3. Geschäfts- oder Firmenwert,,
0039,Anzahlungen auf immaterielle Vermögensgegenstände (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,Aktivkonto,Geleistete Anzahlungen für den Erwerb von z.B. Software oder Lizenzen.,1200,,,,Nein,A.I.4. Geleistete Anzahlungen,,
0044,EDV-Software selbsterstellt (Anlagevermögen),Anlagevermögen,Immaterielle Vermögensgegenstände,Aktivkonto,Aktivierung von Entwicklungskosten für selbsterstellte Software.,2790,,,,Nein,A.I.1. Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte,,
0149,Gebäudeteil des häuslichen Arbeitszimmers (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,Aktivierung des anteiligen Gebäudewerts für ein steuerlich anerkanntes Arbeitszimmer.,1800,,,,Nein,"A.II.1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken",,
0200,Technische Anlagen und Maschinen (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Buchung von Maschinen, die direkt im Produktionsprozess eingesetzt werden.",1200,,,,Nein,A.II.2. Technische Anlagen und Maschinen,,
0220,Maschinengebundene Werkzeuge (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Aktivierung von Werkzeugen, die fest mit einer Maschine verbunden sind (z.B. spezielle Pressformen).",1200,,,,Nein,A.II.2. Technische Anlagen und Maschinen,,
0240,Technische Anlagen (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Umfasst technische Einrichtungen, die nicht direkt Maschinen sind (z.B. Förderanlagen, Lüftungssysteme).",1200,,,,Nein,A.II.2. Technische Anlagen und Maschinen,,
0300,"Andere Anlagen, Betriebs- und Geschäftsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,Aktivkonto,Sammelbegriff für die nachfolgenden Konten dieser Kategorie.,,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0310,Andere Anlagen (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Sonstige Anlagen, die nicht Maschinen oder BGA sind (z.B. Außenanlagen, Hofbefestigungen).",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0320,Pkw (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,Erfassung von Personenkraftwagen im Betriebsvermögen (Firmenwagen).,1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0350,Lkw (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Erfassung von Lastkraftwagen, Lieferwagen und Transportern im Betriebsvermögen.",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0380,Sonstige Transportmittel (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Erfassung von z.B. Anhängern, Gabelstaplern oder Fahrrädern.",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0400,Betriebsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Ausstattung für Werkstatt und Produktion, die nicht direkt Maschinen sind.",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0410,Geschäftsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Ausstattung für Verkaufs- und Geschäftsräume (z.B. Ladenbau, Regale).",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0420,Büroeinrichtung (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Möbel und Einrichtung für Büroräume (Schreibtische, Stühle, Schränke).",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0440,Werkzeuge (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Werkzeuge, die als eigenständige Vermögensgegenstände aktiviert werden (z.B. teure Messgeräte).",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0450,Einbauten (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Einbauten in gemietete Räume (Mietereinbauten), die aktiviert werden.",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0480,Geringwertige Wirtschaftsgüter (GWG),Anlagevermögen,Sachanlagen,Aktivkonto,Sammelkonto für geringwertige Wirtschaftsgüter zur sofortigen oder poolweisen Abschreibung.,1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0490,Sonstige Betriebs- und Geschäftsausstattung (Anlagevermögen),Anlagevermögen,Sachanlagen,Aktivkonto,"Auffangkonto für BGA, die keiner anderen Kategorie zugeordnet werden können.",1200,,,,Nein,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung",,
0498,"Andere Anlagen, Betriebsausstattung im Bau (Anlagevermögen)",Anlagevermögen,Sachanlagen,Aktivkonto,Erfassung von Kosten für noch nicht fertiggestellte BGA oder geleistete Anzahlungen darauf.,1200,,,,Nein,A.II.4. Geleistete Anzahlungen und Anlagen im Bau,,
0800,Gezeichnetes Kapital,Kapital,Eigenkapital,Passivkonto,"Ausweis des Nennkapitals der Kapitalgesellschaft (z.B. Stammkapital bei GmbH, Grundkapital bei AG).",1200,,,,Nein,,A.I. Gezeichnetes Kapital,
0809,Kapitalerhöhung aus Gesellschaftsmitteln,Kapital,Eigenkapital,Passivkonto,Verrechnungskonto bei einer Kapitalerhöhung durch Umwandlung von Rücklagen in gezeichnetes Kapital.,0855,,,,Nein,,A.I. Gezeichnetes Kapital,
