Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
0015,"Konzessionen (Anlagevermögen)",Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...","","","Buchung von erworbenen Nutzungsrechten wie Lizenzen, Konzessionen.","","","",Aktivkonto,Nein,1200
0027,"EDV-Software (Anlagevermögen)",Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.2. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte...","","","Erworbene Standard- und Individualsoftware, die über ein Jahr genutzt wird.","","","",Aktivkonto,Nein,1200
0035,"Geschäfts- oder Firmenwert (Anlagevermögen)",Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.3. Geschäfts- oder Firmenwert","","","Aktivierung des bei einem Unternehmenskauf entstandenen Goodwill.","","","",Aktivkonto,Nein,1600
0039,"Anzahlungen auf immaterielle Vermögensgegenstände (Anlagevermögen)",Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.4. Geleistete Anzahlungen","","","Geleistete Anzahlungen für den Erwerb von z.B. Software oder Lizenzen.","","","",Aktivkonto,Nein,1200
0044,"EDV-Software selbsterstellt (Anlagevermögen)",Anlagevermögen,Immaterielle Vermögensgegenstände,"A.I.1. Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte","","","Aktivierung von Entwicklungskosten für selbsterstellte Software.","","","",Aktivkonto,Nein,2790
0149,"Gebäudeteil des häuslichen Arbeitszimmers (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","","","Aktivierung des anteiligen Gebäudewerts für ein steuerlich anerkanntes Arbeitszimmer.","","","",Aktivkonto,Nein,1800
0200,"Technische Anlagen und Maschinen (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.2. Technische Anlagen und Maschinen","","","Buchung von Maschinen, die direkt im Produktionsprozess eingesetzt werden.","","","",Aktivkonto,Nein,1200
0220,"Maschinengebundene Werkzeuge (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.2. Technische Anlagen und Maschinen","","","Aktivierung von Werkzeugen, die fest mit einer Maschine verbunden sind (z.B. spezielle Pressformen).","","","",Aktivkonto,Nein,1200
0240,"Technische Anlagen (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.2. Technische Anlagen und Maschinen","","","Umfasst technische Einrichtungen, die nicht direkt Maschinen sind (z.B. Förderanlagen, Lüftungssysteme).","","","",Aktivkonto,Nein,1200
0300,"Andere Anlagen, Betriebs- und Geschäftsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Sammelbegriff für die nachfolgenden Konten dieser Kategorie.","","","",Aktivkonto,Nein,
0310,"Andere Anlagen (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Sonstige Anlagen, die nicht Maschinen oder BGA sind (z.B. Außenanlagen, Hofbefestigungen).","","","",Aktivkonto,Nein,1200
0320,"Pkw (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Erfassung von Personenkraftwagen im Betriebsvermögen (Firmenwagen).","","","",Aktivkonto,Nein,1200
0350,"Lkw (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Erfassung von Lastkraftwagen, Lieferwagen und Transportern im Betriebsvermögen.","","","",Aktivkonto,Nein,1200
0380,"Sonstige Transportmittel (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Erfassung von z.B. Anhängern, Gabelstaplern oder Fahrrädern.","","","",Aktivkonto,Nein,1200
0400,"Betriebsausstattung (Anlagevermögen)",Anlagevermögen,Sachanlagen,"A.II.3. Andere Anlagen, Betriebs- und Geschäftsausstattung","","","Ausstattung für Werkstatt und Produktion, die nicht direkt Maschinen sind.","","","",Aktivkonto,Nein,1200
